,value,percentage,datetime,tipo_energia,comunidad,id_comunidad
306,596.097,1.0,2011-11-03T00:00:00.000+01:00,No renovable,Ceuta,8744
307,570.841,1.0,2011-11-04T00:00:00.000+01:00,No renovable,Ceuta,8744
308,518.374,1.0,2011-11-05T00:00:00.000+01:00,No renovable,Ceuta,8744
309,485.453,1.0,2011-11-06T00:00:00.000+01:00,No renovable,Ceuta,8744
310,474.287,1.0,2011-11-07T00:00:00.000+01:00,No renovable,Ceuta,8744
311,552.334,1.0,2011-11-08T00:00:00.000+01:00,No renovable,Ceuta,8744
312,568.598,1.0,2011-11-09T00:00:00.000+01:00,No renovable,Ceuta,8744
313,578.812,1.0,2011-11-10T00:00:00.000+01:00,No renovable,Ceuta,8744
314,564.12,1.0,2011-11-11T00:00:00.000+01:00,No renovable,Ceuta,8744
315,529.241,1.0,2011-11-12T00:00:00.000+01:00,No renovable,Ceuta,8744
316,499.623,1.0,2011-11-13T00:00:00.000+01:00,No renovable,Ceuta,8744
317,585.938,1.0,2011-11-14T00:00:00.000+01:00,No renovable,Ceuta,8744
318,584.041,1.0,2011-11-15T00:00:00.000+01:00,No renovable,Ceuta,8744
319,579.617,1.0,2011-11-16T00:00:00.000+01:00,No renovable,Ceuta,8744
